R,G,B,colour
81.0,42.0,173.0,purple
222.0,9.0,73.0,red
59.0,188.0,227.0,blue
14.0,158.0,29.0,green
222.0,222.0,82.0,yellow
222.0,154.0,82.0,orange
240.0,137.0,26.0,orange
54.0,181.0,126.0,green
16.0,115.0,130.0,blue
96.0,126.0,181.0,blue
222.0,160.0,194.0,pink
205.0,143.0,219.0,purple
143.0,219.0,177.0,green
143.0,176.0,219.0,blue
215.0,219.0,143.0,yellow
135.0,206.0,235.0,blue
255.0,97.0,56.0,orange
255.0,99.0,71.0,red
120.0,81.0,169.0,purple
255.0,20.0,147.0,pink
199.0,77.0,222.0,pink
222.0,200.0,77.0,yellow
133.0,255.0,233.0,blue
52.0,29.0,107.0,purple
50.0,20.0,100.0,purple
100.0,20.0,70.0,pink
89.0,102.0,201.0,purple
3.0,61.0,252.0,blue
30.0,77.0,2.0,green
176.0,125.0,174.0,pink
57.0,77.0,11.0,green
44.0,33.0,88.0,purple
88.0,11.0,255.0,purple
123.0,45.0,67.0,red
89.0,156.0,233.0,blue
210.0,85.0,30.0,orange
255.0,165.0,0.0,orange
255.0,192.0,203.0,pink
60.0,179.0,113.0,green
72.0,61.0,139.0,blue
48.0,160.0,99.0,green
16.0,201.0,100.0,green
23.0,204.0,218.0,blue
76.0,34.0,106.0,purple
132.0,43.0,195.0,purple
43.0,195.0,190.0,turquoise
81.0,216.0,211.0,turquoise
9.0,104.0,101.0,turquoise
128.0,210.0,207.0,turquoise
128.0,155.0,210.0,blue
16.0,56.0,133.0,blue
151.0,172.0,212.0,blue
162.0,207.0,0.0,green
174.0,197.0,90.0,green
207.0,202.0,13.0,yellow
224.0,221.0,116.0,yellow
220.0,228.0,18.0,yellow
228.0,67.0,18.0,red
243.0,136.0,104.0,red
245.0,148.0,240.0,pink
169.0,252.0,3.0,green
3.0,198.0,252.0,blue
177.0,3.0,252.0,violet
186.0,58.0,154.0,pink
186.0,133.0,58.0,brown
181.0,68.0,51.0,red
181.0,131.0,51.0,brown
181.0,51.0,177.0,purple
181.0,51.0,51.0,red
51.0,151.0,181.0,blue
146.0,181.0,51.0,green
181.0,181.0,51.0,yellow
250.0,151.0,2.0,orange
250.0,68.0,2.0,orange
250.0,19.0,2.0,red
2.0,250.0,11.0,green
2.0,159.0,250.0,blue
2.0,93.0,250.0,blue
130.0,2.0,250.0,violet
221.0,2.0,250.0,purple
154.0,161.0,18.0,green
67.0,98.0,94.0,green
123.0,172.0,196.0,blue
117.0,117.0,111.0,grey
211.0,108.0,75.0,orange
220.0,20.0,16.0,red
43.0,76.0,112.0,blue
237.0,210.0,87.0,yellow
112.0,62.0,43.0,brown
130.0,103.0,137.0,purple
133.0,8.0,138.0,purple
79.0,79.0,79.0,grey
65.0,105.0,225.0,blue
233.0,240.0,105.0,yellow
223.0,210.0,214.0,pink
252.0,140.0,3.0,orange
